framework,item_type,parent,skill,learning_outcome,lo_bloom_level,assessment_method,assessment_bloom,skill_outcome_score,outcome_assessment_score,composite_score,program,university
ECSF,skill,Chief Information Security Officer (CISO),Manage cybersecurity resources,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Manage cybersecurity resources,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Develop, champion and lead the execution of a cybersecurity strategy","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.167,1.0,0.5,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Develop, champion and lead the execution of a cybersecurity strategy","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.167,0.488,0.295,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Influence an organisation’s cybersecurity culture,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Influence an organisation’s cybersecurity culture,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Design, apply, monitor and review Information Security Management System (ISMS) either directly or by leading its outsourcing","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.077,1.0,0.446,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Design, apply, monitor and review Information Security Management System (ISMS) either directly or by leading its outsourcing","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.077,0.65,0.306,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Review and enhance security documents, reports, SLAs and ensure the security objectives","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.125,1.0,0.475,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Review and enhance security documents, reports, SLAs and ensure the security objectives","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.125,0.65,0.335,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Identify and solve cybersecurity-related issues,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.4,1.0,0.64,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Identify and solve cybersecurity-related issues,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.4,0.488,0.435,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Identify and solve cybersecurity-related issues,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Identify and solve cybersecurity-related issues,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.2,0.65,0.38,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Establish a cybersecurity plan,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.667,1.0,0.8,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Establish a cybersecurity plan,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.667,0.488,0.595,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Anticipate required changes to the organisation’s information security strategy and formulate new plans,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.1,1.0,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Anticipate required changes to the organisation’s information security strategy and formulate new plans,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.1,0.65,0.32,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Define and apply maturity models for cybersecurity management,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.167,1.0,0.5,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),Define and apply maturity models for cybersecurity management,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.167,0.488,0.295,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Anticipate cybersecurity threats, needs and upcoming challenges","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Anticipate cybersecurity threats, needs and upcoming challenges","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Anticipate cybersecurity threats, needs and upcoming challenges","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.167,1.0,0.5,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Chief Information Security Officer (CISO),"Anticipate cybersecurity threats, needs and upcoming challenges","deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.167,0.65,0.36,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.5,1.0,0.7,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.5,0.488,0.495,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),"Cybersecurity standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),"Cybersecurity standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity recommendations and best practices,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity recommendations and best practices,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),"Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),"Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.2,0.488,0.315,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity-related certifications,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity-related certifications,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Ethical cybersecurity organisation requirements,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Ethical cybersecurity organisation requirements,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity maturity models,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity maturity models,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.5,1.0,0.7,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Chief Information Security Officer (CISO),Cybersecurity procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.5,0.488,0.495,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Incident Responder,"Practice all technical, functional and operational aspects of cybersecurity incident  handling and response","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.1,1.0,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Incident Responder,"Practice all technical, functional and operational aspects of cybersecurity incident  handling and response","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.1,0.488,0.255,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Operating systems security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Operating systems security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.333,0.65,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer networks security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer networks security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.333,0.65,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cyber threats,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.5,1.0,0.7,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cyber threats,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.5,0.488,0.495,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cybersecurity attack procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cybersecurity attack procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer systems vulnerabilities,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer systems vulnerabilities,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer systems vulnerabilities,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer systems vulnerabilities,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.333,0.65,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cybersecurity-related certifications,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Cybersecurity-related certifications,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,"Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,"Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.2,0.488,0.315,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer Security Incident Response Teams (CSIRTs) operation,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.143,1.0,0.486,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Incident Responder,Computer Security Incident Response Teams (CSIRTs) operation,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.143,0.65,0.346,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,"Cyber Legal, Policy & Compliance Officer",Understand legal framework modifications implications to the organisation’s  cybersecurity and data protection strategy and policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.091,1.0,0.455,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,"Cyber Legal, Policy & Compliance Officer",Understand legal framework modifications implications to the organisation’s  cybersecurity and data protection strategy and policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.091,0.488,0.25,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer","Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer","Cybersecurity related laws, regulations and legislations","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.2,0.488,0.315,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer","Cybersecurity standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer","Cybersecurity standards, methodologies and frameworks","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer",Cybersecurity policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.5,1.0,0.7,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,"Cyber Legal, Policy & Compliance Officer",Cybersecurity policies,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.5,0.488,0.495,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify threat actors TTPs and campaigns,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify threat actors TTPs and campaigns,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.2,0.488,0.315,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify threat actors TTPs and campaigns,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify threat actors TTPs and campaigns,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.2,0.65,0.38,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify non-cyber events with implications on cyber-related activities,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.143,1.0,0.486,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify non-cyber events with implications on cyber-related activities,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.143,0.488,0.281,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify non-cyber events with implications on cyber-related activities,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.143,1.0,0.486,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,Identify non-cyber events with implications on cyber-related activities,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.143,0.65,0.346,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,"Model threats, actors and TTPs","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.25,1.0,0.55,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,skill,Cyber Threat Intelligence Specialist,"Model threats, actors and TTPs","identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.25,0.488,0.345,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Operating systems security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Operating systems security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.333,0.65,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Computer networks security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Computer networks security,"deal with ict security challenges and are prepared to identify and assess risks, vulnerabilities and",Apply,presentation,Apply,0.333,0.65,0.46,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cybersecurity controls and solutions,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cybersecurity controls and solutions,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cross-domain and border-domain knowledge related to cybersecurity,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.167,1.0,0.5,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cross-domain and border-domain knowledge related to cybersecurity,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.167,0.488,0.295,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cyber threats,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.5,1.0,0.7,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cyber threats,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.5,0.488,0.495,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cybersecurity attack procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.333,1.0,0.6,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Cybersecurity attack procedures,"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,presentation,Apply,0.333,0.488,0.395,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
ECSF,knowledge,Cyber Threat Intelligence Specialist,Advanced and persistent cyber threats (APT),"identify and assess risks, vulnerabilities and cybersecurity threats, being able to plan, implement",Analyze,ctf_competition,Evaluate,0.2,1.0,0.52,Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa
