Work Role,Work Role Description,Work Role ID,OPM Code (Fed Use),Link to TKS List,,Click to view TKS Catalog
Cybersecurity Architecture ,"Responsible for ensuring that security requirements are adequately addressed in all aspects of enterprise architecture, including reference models, segment and solution architectures, and the resulting systems that protect and support organizational mission and business processes.",DD-WRL-001,652,Click to view DD-WRL-001 TKS List,,
Enterprise Architecture ,"Responsible for developing and maintaining business, systems, and information processes to support enterprise mission needs. Develops technology rules and requirements that describe baseline and target architectures. ",DD-WRL-002,651,Click to view DD-WRL-002 TKS List,,
Secure Software Development,"Responsible for developing, creating, modifying, and maintaining computer applications, software, or specialized utility programs.",DD-WRL-003,621,Click to view DD-WRL-003 TKS List,,
Secure Systems Development,"Responsible for the secure design, development, and testing of systems and the evaluation of system security throughout the systems development life cycle.",DD-WRL-004,631 and 632,Click to view DD-WRL-004 TKS List,,
Software Security Assessment,"Responsible for analyzing the security of new or existing computer applications, software, or specialized utility programs and delivering actionable results.",DD-WRL-005,622,Click to view DD-WRL-005 TKS List,,
Systems Requirements Planning ,Responsible for consulting with internal and external customers to evaluate and translate functional requirements and integrating security policies into technical solutions. ,DD-WRL-006,641,Click to view DD-WRL-006 TKS List,,
Systems Testing and Evaluation,"Responsible for planning, preparing, and executing system tests; evaluating test results against specifications and requirements; and reporting test results and findings.",DD-WRL-007,671,Click to view DD-WRL-007 TKS List,,
Technology Research and Development,Responsible for conducting software and systems engineering and software systems research to develop new capabilities with fully integrated cybersecurity. Conducts comprehensive technology research to evaluate potential vulnerabilities in cyberspace systems. ,DD-WRL-008,661,Click to view DD-WRL-008 TKS List,,
Operational Technology (OT) Cybersecurity Engineering,"Responsible for working within the engineering department to design and create systems, processes, and procedures that maintain the safety, reliability, controllability and security of industrial systems in the face of intentional and incidental cyber events. Interfaces with Chief Information Security Officer, plant managers and industrial cybersecurity technicians.",DD-WRL-009,TBD,Click to view DD-WRL-009 TKS List,,
"IMPLEMENTATION and OPERATION (IO) – Provides implementation, administration, configuration, operation, and maintenance to ensure effective and efficient technology system performance and security.",,,,,,
Data Analysis ,"Responsible for analyzing data from multiple disparate sources to provide cybersecurity and privacy insight. Designs and implements custom algorithms, workflow processes, and layouts for complex, enterprise-scale data sets used for modeling, data mining, and research purposes.",IO-WRL-001,422,Click to view IO-WRL-001 TKS List,,
Database Administration,"Responsible for administering databases and data management systems that allow for the secure storage, query, protection, and utilization of data.",IO-WRL-002,421,Click to view IO-WRL-002 TKS List,,
Knowledge Management,"Responsible for managing and administering processes and tools to identify, document, and access an organization's intellectual capital.",IO-WRL-003,431,Click to view IO-WRL-003 TKS List,,
Network Operations,"Responsible for planning, implementing, and operating network services and systems, including hardware and virtual environments.",IO-WRL-004,441,Click to view IO-WRL-004 TKS List,,
Systems Administration,"Responsible for setting up and maintaining a system or specific components of a system in adherence with organizational security policies and procedures. Includes hardware and software installation, configuration, and updates; user account management; backup and recovery management; and security control implementation.",IO-WRL-005,451,Click to view IO-WRL-005 TKS List,,
Systems Security Analysis,"Responsible for developing and analyzing the integration, testing, operations, and maintenance of systems security. Prepares, performs, and manages the security aspects of implementing and operating a system.",IO-WRL-006,461,Click to view IO-WRL-006 TKS List,,
Technical Support ,Responsible for providing technical support to customers who need assistance utilizing client-level hardware and software in accordance with established or approved organizational policies and processes.,IO-WRL-007,411,Click to view IO-WRL-007 TKS List,,
"PROTECTION and DEFENSE (PD) – Protects against, identifies, and analyzes risks to technology systems or networks. Includes investigation of cybersecurity events or crimes related to technology systems and networks.",,,,,,
Defensive Cybersecurity,Responsible for analyzing data collected from various cybersecurity defense tools to mitigate risks.,PD-WRL-001,511,Click to view PD-WRL-001 TKS List,,
Digital Forensics ,Responsible for analyzing digital evidence from computer security incidents to derive useful information in support of system and network vulnerability mitigation.,PD-WRL-002,212,Click to view PD-WRL-002 TKS List,,
Incident Response,"Responsible for investigating, analyzing, and responding to network cybersecurity incidents.",PD-WRL-003,531,Click to view PD-WRL-003 TKS List,,
Infrastructure Support,"Responsible for testing, implementing, deploying, maintaining, and administering infrastructure hardware and software for cybersecurity. ",PD-WRL-004,521,Click to view PD-WRL-004 TKS List,,
Insider Threat Analysis,Responsible for identifying and assessing the capabilities and activities of cybersecurity insider threats; produces findings to help initialize and support law enforcement and counterintelligence activities and investigations.,PD-WRL-005,TBD,Click to view PD-WRL-005 TKS List,,
Threat Analysis,"Responsible for collecting, processing, analyzing, and disseminating cybersecurity threat assessments. Develops cybersecurity indicators to maintain awareness of the status of the highly dynamic operating environment.",PD-WRL-006,141,Click to view PD-WRL-006 TKS List,,
Vulnerability Analysis,"Responsible for assessing systems and networks to identify deviations from acceptable configurations, enclave policy, or local policy. Measure effectiveness of defense-in-depth architecture against known vulnerabilities.",PD-WRL-007,541,Click to view PD-WRL-007 TKS List,,
"INVESTIGATION (IN) – Collects, processes, analyzes, and disseminates information from all sources of intelligence on foreign actors' cyberspace programs, intentions, capabilities, research and development, and operational activities",,,,,,
Cybercrime Investigation,"Responsible for investigating cyberspace intrusion incidents and crimes. Applies tactics, techniques, and procedures for a full range of investigative tools and processes and appropriately balances the benefits of prosecution versus intelligence gathering.",IN-WRL-001,221,Click to view IN-WRL-001 TKS List,,
Digital Evidence Analysis,"Responsible for identifying, collecting, examining, and preserving digital evidence using controlled and documented analytical and investigative techniques.",IN-WRL-002,211,Click to view IN-WRL-002 TKS List,,
